agent_id,employee_code,agent_name,vendor_id,team,status,joined_at,updated_at,joined_at_dt
AGT0000773,EMP00379,Rahul Verma,VND0000012,FIELD,INACTIVE,2024-01-01 08:21:12,2026-06-27 09:59:03,2024-01-01 08:21:12+00:00
AGT0000682,EMP00044,Rohan Patel,VND0000004,FIELD,ACTIVE,2024-01-01 09:14:37,2026-04-28 20:56:50,2024-01-01 09:14:37+00:00
AGT0000862,EMP00219,Rahul Verma,VND0000012,T3,INACTIVE,2024-01-01 09:25:17,2025-07-07 17:42:21,2024-01-01 09:25:17+00:00
AGT0000210,EMP00857,Neha Singh,VND0000013,FIELD,INACTIVE,2024-01-01 09:26:29,2025-05-05 07:17:58,2024-01-01 09:26:29+00:00
AGT0000514,EMP00384,Neha Singh,VND0000006,T1,ACTIVE,2024-01-01 09:34:17,2026-03-04 13:17:57,2024-01-01 09:34:17+00:00
AGT0000496,EMP00824,Rohan Patel,VND0000009,T3,SUSPENDED,2024-01-01 10:49:15,2025-11-14 03:20:04,2024-01-01 10:49:15+00:00
AGT0000828,EMP00435,Amit Kumar,VND0000006,T1,SUSPENDED,2024-01-01 10:59:25,2025-03-27 19:14:03,2024-01-01 10:59:25+00:00
AGT0000972,EMP00900,Ananya Rao,VND0000010,T3,SUSPENDED,2024-01-01 11:07:15,2026-07-19 08:53:53,2024-01-01 11:07:15+00:00
AGT0000548,EMP00739,Amit Kumar,VND0000010,FIELD,ACTIVE,2024-01-01 12:12:19,2026-01-07 13:47:46,2024-01-01 12:12:19+00:00
AGT0000762,EMP01092,Amit Kumar,VND0000012,FIELD,INACTIVE,2024-01-01 12:49:18,2025-08-19 12:32:24,2024-01-01 12:49:18+00:00
AGT0000267,EMP00614,Vikram Shah,VND0000005,T2,SUSPENDED,2024-01-01 12:49:45,2026-06-14 18:14:47,2024-01-01 12:49:45+00:00
AGT0000284,EMP00600,Amit Kumar,VND0000012,T1,SUSPENDED,2024-01-01 13:07:27,2025-02-03 06:10:27,2024-01-01 13:07:27+00:00
AGT0000905,EMP00074,Rahul Verma,VND0000008,T2,SUSPENDED,2024-01-01 13:34:12,2025-03-12 00:10:37,2024-01-01 13:34:12+00:00
AGT0000406,EMP00760,Priya Mehta,VND0000005,DIGITAL,INACTIVE,2024-01-01 13:35:26,2025-08-30 18:37:08,2024-01-01 13:35:26+00:00
AGT0000091,EMP01015,Rahul Verma,VND0000011,DIGITAL,SUSPENDED,2024-01-01 13:55:42,2026-03-01 07:34:15,2024-01-01 13:55:42+00:00
AGT0000456,EMP00534,Neha Singh,VND0000002,FIELD,ACTIVE,2024-01-01 14:08:10,2025-10-15 11:34:33,2024-01-01 14:08:10+00:00
AGT0000863,EMP00132,Vikram Shah,VND0000015,T3,INACTIVE,2024-01-01 14:14:49,2025-02-01 09:25:37,2024-01-01 14:14:49+00:00
AGT0000894,EMP00704,Rahul Verma,VND0000014,DIGITAL,ACTIVE,2024-01-01 14:18:23,2025-05-16 17:59:20,2024-01-01 14:18:23+00:00
AGT0000119,EMP00609,Vikram Shah,VND0000009,T2,ACTIVE,2024-01-01 14:59:20,2025-07-14 08:22:28,2024-01-01 14:59:20+00:00
AGT0000331,EMP00116,Ananya Rao,VND0000006,T3,SUSPENDED,2024-01-01 16:49:12,2026-05-05 20:14:34,2024-01-01 16:49:12+00:00
AGT0000810,EMP00691,Sneha Das,VND0000003,DIGITAL,ACTIVE,2024-01-01 17:13:11,2025-08-08 08:25:42,2024-01-01 17:13:11+00:00
AGT0000897,EMP00309,Aarav Sharma,VND0000004,DIGITAL,SUSPENDED,2024-01-01 17:53:37,2025-07-09 14:57:36,2024-01-01 17:53:37+00:00
AGT0000676,EMP00125,Vikram Shah,VND0000002,FIELD,SUSPENDED,2024-01-01 18:12:20,2026-06-15 05:46:28,2024-01-01 18:12:20+00:00
AGT0000935,EMP00071,Rohan Patel,VND0000004,FIELD,ACTIVE,2024-01-01 18:43:59,2025-01-19 22:41:20,2024-01-01 18:43:59+00:00
AGT0000860,EMP01094,Rohan Patel,VND0000014,T1,ACTIVE,2024-01-01 19:45:02,2026-02-03 15:42:22,2024-01-01 19:45:02+00:00
AGT0000692,EMP00097,Rohan Patel,VND0000011,FIELD,ACTIVE,2024-01-01 20:15:39,2026-06-19 16:56:22,2024-01-01 20:15:39+00:00
AGT0000227,EMP00475,Pooja Nair,VND0000005,FIELD,SUSPENDED,2024-01-01 20:27:47,2025-11-19 14:46:04,2024-01-01 20:27:47+00:00
AGT0000720,EMP00424,Vikram Shah,VND0000002,T3,INACTIVE,2024-01-01 20:52:42,2025-11-08 11:32:06,2024-01-01 20:52:42+00:00
AGT0000261,EMP00863,Sneha Das,VND0000004,T2,ACTIVE,2024-01-01 21:45:56,2025-05-22 18:54:51,2024-01-01 21:45:56+00:00
AGT0000668,EMP00979,Sneha Das,VND0000001,T3,ACTIVE,2024-01-01 22:26:42,2025-06-18 23:48:35,2024-01-01 22:26:42+00:00
AGT0000715,EMP00922,Ananya Rao,VND0000002,T2,SUSPENDED,2024-01-01 23:10:29,2026-04-27 02:49:26,2024-01-01 23:10:29+00:00
AGT0000907,EMP00303,Rohan Patel,VND0000002,T3,INACTIVE,2024-01-01 23:11:02,2025-09-09 01:24:08,2024-01-01 23:11:02+00:00
AGT0000688,EMP00821,Sneha Das,VND0000013,DIGITAL,ACTIVE,2024-01-01 23:34:04,2026-06-26 13:56:16,2024-01-01 23:34:04+00:00
AGT0000065,EMP00359,Vikram Shah,VND0000001,T1,ACTIVE,2024-01-01 23:38:12,2025-11-25 03:21:42,2024-01-01 23:38:12+00:00
AGT0000981,EMP00820,Ananya Rao,VND0000005,T2,SUSPENDED,2024-01-01 23:43:13,2026-06-13 21:26:56,2024-01-01 23:43:13+00:00
AGT0000554,EMP00357,Pooja Nair,VND0000015,T3,SUSPENDED,2024-01-01 23:53:00,2026-02-05 02:09:51,2024-01-01 23:53:00+00:00
AGT0000502,EMP00571,Neha Singh,VND0000009,T2,INACTIVE,2024-01-02 01:40:04,2025-09-30 10:45:55,2024-01-02 01:40:04+00:00
AGT0000122,EMP00714,Neha Singh,VND0000015,FIELD,INACTIVE,2024-01-02 02:15:23,2025-07-16 20:35:10,2024-01-02 02:15:23+00:00
AGT0000257,EMP00923,Pooja Nair,VND0000011,FIELD,SUSPENDED,2024-01-02 02:37:28,2025-09-28 04:12:07,2024-01-02 02:37:28+00:00
AGT0000549,EMP00375,Ananya Rao,VND0000015,FIELD,SUSPENDED,2024-01-02 03:20:42,2025-09-15 04:11:37,2024-01-02 03:20:42+00:00
AGT0000293,EMP00292,Amit Kumar,VND0000011,T2,SUSPENDED,2024-01-02 05:00:44,2025-04-28 11:39:45,2024-01-02 05:00:44+00:00
AGT0000071,EMP00637,Rahul Verma,VND0000001,T1,INACTIVE,2024-01-02 05:07:15,2025-03-20 12:17:36,2024-01-02 05:07:15+00:00
AGT0000917,EMP00618,Priya Mehta,VND0000010,T3,ACTIVE,2024-01-02 05:09:57,2025-11-22 11:02:03,2024-01-02 05:09:57+00:00
AGT0000513,EMP00885,Rohan Patel,VND0000014,T2,ACTIVE,2024-01-02 05:17:05,2026-04-04 19:10:28,2024-01-02 05:17:05+00:00
AGT0000991,EMP00325,Priya Mehta,VND0000013,T3,ACTIVE,2024-01-02 05:32:26,2025-04-20 17:20:32,2024-01-02 05:32:26+00:00
AGT0000099,EMP00358,Pooja Nair,VND0000003,T1,SUSPENDED,2024-01-02 06:44:00,2025-07-13 07:57:28,2024-01-02 06:44:00+00:00
AGT0000671,EMP00400,Pooja Nair,VND0000004,T1,SUSPENDED,2024-01-02 07:24:10,2026-05-27 06:03:34,2024-01-02 07:24:10+00:00
AGT0000128,EMP01008,Amit Kumar,VND0000006,DIGITAL,SUSPENDED,2024-01-02 07:57:36,2025-01-04 09:35:51,2024-01-02 07:57:36+00:00
AGT0000224,EMP00837,Aarav Sharma,VND0000012,DIGITAL,ACTIVE,2024-01-02 10:34:01,2026-05-12 09:21:10,2024-01-02 10:34:01+00:00
AGT0000926,EMP00976,Aarav Sharma,VND0000004,DIGITAL,INACTIVE,2024-01-02 11:26:11,2025-05-11 21:17:13,2024-01-02 11:26:11+00:00
AGT0000407,EMP00551,Amit Kumar,VND0000002,DIGITAL,ACTIVE,2024-01-02 12:09:19,2025-12-29 23:47:55,2024-01-02 12:09:19+00:00
AGT0000394,EMP00975,Priya Mehta,VND0000013,T3,SUSPENDED,2024-01-02 13:14:46,2025-05-06 16:20:28,2024-01-02 13:14:46+00:00
AGT0000421,EMP00469,Neha Singh,VND0000008,T3,SUSPENDED,2024-01-02 13:56:01,2025-12-16 18:23:26,2024-01-02 13:56:01+00:00
AGT0000568,EMP01071,Sneha Das,VND0000007,T2,ACTIVE,2024-01-02 14:27:21,2026-05-07 17:55:53,2024-01-02 14:27:21+00:00
AGT0000060,EMP00774,Ananya Rao,VND0000015,T1,SUSPENDED,2024-01-02 15:20:42,2025-09-19 01:25:45,2024-01-02 15:20:42+00:00
AGT0000591,EMP00645,Amit Kumar,VND0000006,T2,SUSPENDED,2024-01-02 15:59:34,2026-04-17 20:46:13,2024-01-02 15:59:34+00:00
AGT0000395,EMP00384,Ananya Rao,VND0000002,T3,INACTIVE,2024-01-02 17:11:58,2025-10-02 03:24:36,2024-01-02 17:11:58+00:00
AGT0000194,EMP00561,Priya Mehta,VND0000005,T3,INACTIVE,2024-01-02 18:36:44,2026-07-02 12:39:23,2024-01-02 18:36:44+00:00
AGT0000998,EMP00751,Amit Kumar,VND0000014,T2,SUSPENDED,2024-01-02 19:05:30,2026-06-04 18:13:11,2024-01-02 19:05:30+00:00
AGT0000807,EMP00630,Amit Kumar,VND0000003,FIELD,INACTIVE,2024-01-02 19:36:05,2025-07-13 20:08:58,2024-01-02 19:36:05+00:00
AGT0000786,EMP00930,Neha Singh,VND0000002,T3,SUSPENDED,2024-01-02 20:45:18,2026-05-17 05:24:15,2024-01-02 20:45:18+00:00
AGT0000038,EMP00237,Sneha Das,VND0000003,T3,ACTIVE,2024-01-02 23:17:51,2025-07-27 18:50:09,2024-01-02 23:17:51+00:00
AGT0000949,EMP00624,Ananya Rao,VND0000005,FIELD,SUSPENDED,2024-01-02 23:45:49,2025-12-15 07:59:36,2024-01-02 23:45:49+00:00
AGT0000941,EMP00160,Rohan Patel,VND0000004,T3,INACTIVE,2024-01-03 00:12:37,2025-05-16 14:42:03,2024-01-03 00:12:37+00:00
AGT0000020,EMP01070,Priya Mehta,VND0000001,DIGITAL,ACTIVE,2024-01-03 00:17:58,2026-05-08 05:33:44,2024-01-03 00:17:58+00:00
AGT0000008,EMP00171,Pooja Nair,VND0000013,T1,INACTIVE,2024-01-03 00:25:31,2026-04-25 06:42:57,2024-01-03 00:25:31+00:00
AGT0000503,EMP00902,Ananya Rao,VND0000008,DIGITAL,ACTIVE,2024-01-03 01:04:14,2025-02-13 15:22:06,2024-01-03 01:04:14+00:00
AGT0000212,EMP00228,Rohan Patel,VND0000003,FIELD,SUSPENDED,2024-01-03 02:02:40,2025-09-01 01:41:38,2024-01-03 02:02:40+00:00
AGT0000802,EMP00506,Sneha Das,VND0000007,T1,ACTIVE,2024-01-03 02:30:16,2025-09-24 18:55:55,2024-01-03 02:30:16+00:00
AGT0000173,EMP00396,Sneha Das,VND0000011,T3,ACTIVE,2024-01-03 02:48:36,2025-09-19 04:51:03,2024-01-03 02:48:36+00:00
AGT0000412,EMP00702,Rahul Verma,VND0000001,DIGITAL,ACTIVE,2024-01-03 02:49:34,2025-11-30 00:10:57,2024-01-03 02:49:34+00:00
AGT0000928,EMP00011,Sneha Das,VND0000007,FIELD,INACTIVE,2024-01-03 02:57:45,2025-08-07 16:51:45,2024-01-03 02:57:45+00:00
AGT0000707,EMP00373,Rahul Verma,VND0000008,DIGITAL,ACTIVE,2024-01-03 03:00:15,2026-05-05 04:05:05,2024-01-03 03:00:15+00:00
AGT0000734,EMP00209,Rahul Verma,VND0000009,T2,ACTIVE,2024-01-03 03:02:09,2026-02-18 08:09:14,2024-01-03 03:02:09+00:00
AGT0000898,EMP00300,Pooja Nair,VND0000003,FIELD,INACTIVE,2024-01-03 03:18:52,2025-05-14 15:06:03,2024-01-03 03:18:52+00:00
AGT0000037,EMP00400,Ananya Rao,VND0000001,DIGITAL,INACTIVE,2024-01-03 04:00:54,2026-04-07 00:24:19,2024-01-03 04:00:54+00:00
AGT0000254,EMP00996,Aarav Sharma,VND0000003,DIGITAL,SUSPENDED,2024-01-03 04:01:52,2026-02-28 15:02:34,2024-01-03 04:01:52+00:00
AGT0000329,EMP00998,Vikram Shah,VND0000014,T3,SUSPENDED,2024-01-03 04:55:20,2025-07-16 07:27:32,2024-01-03 04:55:20+00:00
AGT0000962,EMP00900,Ananya Rao,VND0000015,T3,SUSPENDED,2024-01-03 05:36:32,2025-08-20 19:19:07,2024-01-03 05:36:32+00:00
AGT0000131,EMP00076,Neha Singh,VND0000006,T3,ACTIVE,2024-01-03 07:59:41,2025-12-22 12:58:21,2024-01-03 07:59:41+00:00
AGT0000744,EMP00771,Priya Mehta,VND0000009,T1,INACTIVE,2024-01-03 08:10:32,2026-03-11 23:27:40,2024-01-03 08:10:32+00:00
AGT0000478,EMP00554,Amit Kumar,VND0000012,T1,ACTIVE,2024-01-03 08:40:03,2025-04-10 12:55:00,2024-01-03 08:40:03+00:00
AGT0000286,EMP00305,Priya Mehta,VND0000009,FIELD,SUSPENDED,2024-01-03 09:08:26,2025-07-22 19:22:58,2024-01-03 09:08:26+00:00
AGT0000647,EMP00231,Priya Mehta,VND0000008,T2,INACTIVE,2024-01-03 10:00:11,2026-04-07 05:26:02,2024-01-03 10:00:11+00:00
AGT0000680,EMP00706,Priya Mehta,VND0000010,T3,INACTIVE,2024-01-03 10:05:10,2026-07-17 23:09:42,2024-01-03 10:05:10+00:00
AGT0000337,EMP00405,Pooja Nair,VND0000007,T2,INACTIVE,2024-01-03 11:18:34,2025-08-28 23:52:21,2024-01-03 11:18:34+00:00
AGT0000582,EMP01021,Amit Kumar,VND0000012,T2,ACTIVE,2024-01-03 11:25:08,2026-01-20 11:32:56,2024-01-03 11:25:08+00:00
AGT0000592,EMP00110,Aarav Sharma,VND0000001,DIGITAL,INACTIVE,2024-01-03 11:44:00,2025-04-06 07:22:24,2024-01-03 11:44:00+00:00
AGT0000795,EMP00041,Aarav Sharma,VND0000013,T2,ACTIVE,2024-01-03 14:15:18,2026-06-04 18:10:10,2024-01-03 14:15:18+00:00
AGT0000821,EMP00864,Ananya Rao,VND0000005,T2,INACTIVE,2024-01-03 14:32:11,2025-07-30 13:20:09,2024-01-03 14:32:11+00:00
AGT0000404,EMP01040,Amit Kumar,VND0000008,T2,SUSPENDED,2024-01-03 14:50:32,2026-01-01 08:14:28,2024-01-03 14:50:32+00:00
AGT0000769,EMP00718,Rahul Verma,VND0000013,T3,ACTIVE,2024-01-03 14:58:47,2025-12-09 21:49:58,2024-01-03 14:58:47+00:00
AGT0000143,EMP00758,Aarav Sharma,VND0000004,T1,SUSPENDED,2024-01-03 15:09:23,2025-06-27 22:39:59,2024-01-03 15:09:23+00:00
AGT0000242,EMP00598,Pooja Nair,VND0000010,T2,INACTIVE,2024-01-03 16:07:50,2025-05-19 04:52:33,2024-01-03 16:07:50+00:00
AGT0000030,EMP00804,Rohan Patel,VND0000003,FIELD,INACTIVE,2024-01-03 17:18:33,2026-05-14 17:37:12,2024-01-03 17:18:33+00:00
AGT0000903,EMP00954,Sneha Das,VND0000002,DIGITAL,ACTIVE,2024-01-03 17:23:53,2025-01-27 20:21:24,2024-01-03 17:23:53+00:00
AGT0000815,EMP00286,Rohan Patel,VND0000015,FIELD,SUSPENDED,2024-01-03 17:27:37,2026-03-11 07:45:17,2024-01-03 17:27:37+00:00
AGT0000217,EMP01029,Ananya Rao,VND0000002,DIGITAL,INACTIVE,2024-01-03 18:06:23,2025-06-10 10:18:41,2024-01-03 18:06:23+00:00
AGT0000052,EMP00934,Vikram Shah,VND0000008,FIELD,SUSPENDED,2024-01-03 18:43:22,2026-05-17 16:39:30,2024-01-03 18:43:22+00:00
AGT0000723,EMP01078,Aarav Sharma,VND0000002,T2,ACTIVE,2024-01-03 20:35:51,2025-06-20 11:19:45,2024-01-03 20:35:51+00:00
AGT0000140,EMP00165,Rahul Verma,VND0000001,T2,INACTIVE,2024-01-03 21:08:39,2025-04-20 18:17:44,2024-01-03 21:08:39+00:00
AGT0000266,EMP00186,Neha Singh,VND0000010,T3,ACTIVE,2024-01-03 22:49:05,2025-10-17 13:33:22,2024-01-03 22:49:05+00:00
AGT0000753,EMP00695,Rahul Verma,VND0000015,T2,ACTIVE,2024-01-03 23:32:46,2025-05-07 20:38:27,2024-01-03 23:32:46+00:00
AGT0000531,EMP00390,Ananya Rao,VND0000003,T1,ACTIVE,2024-01-04 00:33:33,2026-01-23 15:56:20,2024-01-04 00:33:33+00:00
AGT0000504,EMP00383,Sneha Das,VND0000003,T2,SUSPENDED,2024-01-04 00:58:04,2026-01-19 17:54:11,2024-01-04 00:58:04+00:00
AGT0000281,EMP01045,Neha Singh,VND0000010,T3,SUSPENDED,2024-01-04 01:57:44,2025-09-07 21:54:13,2024-01-04 01:57:44+00:00
AGT0000442,EMP00048,Ananya Rao,VND0000003,DIGITAL,INACTIVE,2024-01-04 03:49:37,2025-04-27 08:35:04,2024-01-04 03:49:37+00:00
AGT0000712,EMP00095,Rohan Patel,VND0000004,T2,INACTIVE,2024-01-04 05:15:19,2025-08-05 08:28:58,2024-01-04 05:15:19+00:00
AGT0000759,EMP01057,Amit Kumar,VND0000001,T2,ACTIVE,2024-01-04 05:31:38,2026-07-21 10:38:24,2024-01-04 05:31:38+00:00
AGT0000729,EMP00145,Neha Singh,VND0000015,T2,ACTIVE,2024-01-04 05:41:26,2026-05-29 10:57:29,2024-01-04 05:41:26+00:00
AGT0000939,EMP00427,Aarav Sharma,VND0000002,T3,ACTIVE,2024-01-04 06:00:40,2025-07-16 15:33:34,2024-01-04 06:00:40+00:00
AGT0000951,EMP00296,Amit Kumar,VND0000003,DIGITAL,INACTIVE,2024-01-04 07:17:04,2025-03-10 22:43:35,2024-01-04 07:17:04+00:00
AGT0000512,EMP00416,Priya Mehta,VND0000003,T1,SUSPENDED,2024-01-04 07:18:05,2025-12-01 21:49:14,2024-01-04 07:18:05+00:00
AGT0000856,EMP00431,Rahul Verma,VND0000013,T1,SUSPENDED,2024-01-04 08:15:10,2025-04-07 21:54:51,2024-01-04 08:15:10+00:00
AGT0000177,EMP00836,Pooja Nair,VND0000013,FIELD,ACTIVE,2024-01-04 08:34:02,2026-07-08 19:48:00,2024-01-04 08:34:02+00:00
AGT0000019,EMP01096,Neha Singh,VND0000013,T2,INACTIVE,2024-01-04 09:37:22,2025-06-24 05:41:12,2024-01-04 09:37:22+00:00
AGT0000847,EMP01093,Vikram Shah,VND0000012,DIGITAL,ACTIVE,2024-01-04 10:05:31,2025-07-06 14:17:24,2024-01-04 10:05:31+00:00
AGT0000742,EMP00894,Neha Singh,VND0000001,T2,SUSPENDED,2024-01-04 10:58:08,2026-04-25 07:25:53,2024-01-04 10:58:08+00:00
AGT0000492,EMP00969,Sneha Das,VND0000012,T1,ACTIVE,2024-01-04 11:00:34,2026-07-11 05:53:40,2024-01-04 11:00:34+00:00
AGT0000509,EMP00151,Vikram Shah,VND0000013,T1,SUSPENDED,2024-01-04 11:03:51,2025-05-18 23:19:31,2024-01-04 11:03:51+00:00
AGT0000417,EMP00920,Rahul Verma,VND0000011,DIGITAL,INACTIVE,2024-01-04 13:04:45,2025-10-07 17:45:27,2024-01-04 13:04:45+00:00
AGT0000298,EMP00543,Neha Singh,VND0000004,FIELD,SUSPENDED,2024-01-04 13:08:36,2026-03-21 04:59:34,2024-01-04 13:08:36+00:00
AGT0000640,EMP00386,Pooja Nair,VND0000014,FIELD,ACTIVE,2024-01-04 13:30:56,2025-03-30 17:25:33,2024-01-04 13:30:56+00:00
AGT0000093,EMP00665,Vikram Shah,VND0000008,DIGITAL,SUSPENDED,2024-01-04 13:35:17,2025-11-01 07:19:10,2024-01-04 13:35:17+00:00
AGT0000666,EMP00476,Amit Kumar,VND0000004,DIGITAL,SUSPENDED,2024-01-04 13:56:48,2025-09-06 17:02:06,2024-01-04 13:56:48+00:00
AGT0000361,EMP00907,Sneha Das,VND0000005,FIELD,SUSPENDED,2024-01-04 14:54:53,2026-06-10 06:39:45,2024-01-04 14:54:53+00:00
AGT0000980,EMP00341,Aarav Sharma,VND0000009,DIGITAL,SUSPENDED,2024-01-04 15:18:01,2026-01-10 04:01:15,2024-01-04 15:18:01+00:00
AGT0000662,EMP00800,Amit Kumar,VND0000004,FIELD,INACTIVE,2024-01-04 16:26:53,2026-03-06 14:16:24,2024-01-04 16:26:53+00:00
AGT0000058,EMP00411,Rohan Patel,VND0000006,FIELD,SUSPENDED,2024-01-04 17:06:17,2025-06-27 22:57:33,2024-01-04 17:06:17+00:00
AGT0000588,EMP00457,Aarav Sharma,VND0000003,T1,INACTIVE,2024-01-04 17:35:42,2025-06-05 14:26:02,2024-01-04 17:35:42+00:00
AGT0000746,EMP00620,Sneha Das,VND0000007,T1,INACTIVE,2024-01-04 17:55:33,2025-07-10 05:52:46,2024-01-04 17:55:33+00:00
AGT0000869,EMP01059,Rahul Verma,VND0000001,T1,INACTIVE,2024-01-04 18:27:27,2026-07-03 10:06:17,2024-01-04 18:27:27+00:00
AGT0000708,EMP00819,Ananya Rao,VND0000010,T2,INACTIVE,2024-01-04 18:50:27,2025-10-17 09:06:29,2024-01-04 18:50:27+00:00
AGT0000985,EMP01038,Rohan Patel,VND0000013,FIELD,INACTIVE,2024-01-04 19:02:54,2026-02-24 14:22:47,2024-01-04 19:02:54+00:00
AGT0000614,EMP00335,Neha Singh,VND0000014,T3,INACTIVE,2024-01-04 19:18:13,2026-06-11 07:58:29,2024-01-04 19:18:13+00:00
AGT0000292,EMP00477,Rahul Verma,VND0000008,T1,INACTIVE,2024-01-04 19:26:50,2025-01-25 17:07:14,2024-01-04 19:26:50+00:00
AGT0000301,EMP00185,Sneha Das,VND0000003,T2,SUSPENDED,2024-01-04 19:51:42,2025-07-12 21:28:29,2024-01-04 19:51:42+00:00
AGT0000214,EMP00924,Sneha Das,VND0000014,T3,INACTIVE,2024-01-04 20:09:50,2026-04-10 01:38:39,2024-01-04 20:09:50+00:00
AGT0000228,EMP00479,Ananya Rao,VND0000012,T1,ACTIVE,2024-01-04 21:12:17,2025-06-24 06:41:23,2024-01-04 21:12:17+00:00
AGT0000515,EMP01017,Rohan Patel,VND0000014,T1,ACTIVE,2024-01-04 22:45:53,2026-04-30 07:04:15,2024-01-04 22:45:53+00:00
AGT0000663,EMP00121,Ananya Rao,VND0000011,FIELD,ACTIVE,2024-01-04 22:53:30,2026-06-23 03:56:57,2024-01-04 22:53:30+00:00
AGT0000625,EMP00324,Neha Singh,VND0000001,DIGITAL,INACTIVE,2024-01-04 23:10:14,2026-03-20 20:08:41,2024-01-04 23:10:14+00:00
AGT0000507,EMP00017,Amit Kumar,VND0000012,T2,ACTIVE,2024-01-04 23:28:26,2025-10-12 07:20:16,2024-01-04 23:28:26+00:00
AGT0000108,EMP01084,Vikram Shah,VND0000012,FIELD,ACTIVE,2024-01-04 23:47:20,2025-07-09 07:41:32,2024-01-04 23:47:20+00:00
AGT0000168,EMP00504,Priya Mehta,VND0000004,T2,ACTIVE,2024-01-04 23:56:32,2025-10-22 10:38:32,2024-01-04 23:56:32+00:00
AGT0000607,EMP00607,Sneha Das,VND0000013,DIGITAL,SUSPENDED,2024-01-05 00:48:29,2025-02-20 02:47:25,2024-01-05 00:48:29+00:00
AGT0000724,EMP01009,Ananya Rao,VND0000007,FIELD,ACTIVE,2024-01-05 01:16:58,2026-02-16 19:08:04,2024-01-05 01:16:58+00:00
AGT0000489,EMP00770,Priya Mehta,VND0000012,T2,SUSPENDED,2024-01-05 01:29:23,2025-03-17 14:34:15,2024-01-05 01:29:23+00:00
AGT0000634,EMP00062,Vikram Shah,VND0000012,DIGITAL,ACTIVE,2024-01-05 03:00:21,2025-10-16 11:19:58,2024-01-05 03:00:21+00:00
AGT0000205,EMP00018,Rahul Verma,VND0000004,T3,SUSPENDED,2024-01-05 03:13:57,2026-01-13 23:23:01,2024-01-05 03:13:57+00:00
